date,validityFrom,validityTo,value
2013-09-07,2013-09-07T00:00:00-05:00,2013-09-09T00:00:00-05:00,1947.99
2013-09-08,2013-09-07T00:00:00-05:00,2013-09-09T00:00:00-05:00,1947.99
2013-09-09,2013-09-07T00:00:00-05:00,2013-09-09T00:00:00-05:00,1947.99
2013-09-10,2013-09-10T00:00:00-05:00,2013-09-10T00:00:00-05:00,1946.06
2013-09-11,2013-09-11T00:00:00-05:00,2013-09-11T00:00:00-05:00,1935.55
2013-09-12,2013-09-12T00:00:00-05:00,2013-09-12T00:00:00-05:00,1923.64
2013-09-13,2013-09-13T00:00:00-05:00,2013-09-13T00:00:00-05:00,1919.25
2013-09-14,2013-09-14T00:00:00-05:00,2013-09-16T00:00:00-05:00,1919.54
2013-09-15,2013-09-14T00:00:00-05:00,2013-09-16T00:00:00-05:00,1919.54
2013-09-16,2013-09-14T00:00:00-05:00,2013-09-16T00:00:00-05:00,1919.54
2013-09-17,2013-09-17T00:00:00-05:00,2013-09-17T00:00:00-05:00,1917.03
2013-09-18,2013-09-18T00:00:00-05:00,2013-09-18T00:00:00-05:00,1914.12
2013-09-19,2013-09-19T00:00:00-05:00,2013-09-19T00:00:00-05:00,1911.3
2013-09-20,2013-09-20T00:00:00-05:00,2013-09-20T00:00:00-05:00,1887.3
2013-09-21,2013-09-21T00:00:00-05:00,2013-09-23T00:00:00-05:00,1889.12
2013-09-22,2013-09-21T00:00:00-05:00,2013-09-23T00:00:00-05:00,1889.12
2013-09-23,2013-09-21T00:00:00-05:00,2013-09-23T00:00:00-05:00,1889.12
2013-09-24,2013-09-24T00:00:00-05:00,2013-09-24T00:00:00-05:00,1892.89
2013-09-25,2013-09-25T00:00:00-05:00,2013-09-25T00:00:00-05:00,1888.14
2013-09-26,2013-09-26T00:00:00-05:00,2013-09-26T00:00:00-05:00,1893.42
2013-09-27,2013-09-27T00:00:00-05:00,2013-09-27T00:00:00-05:00,1899.1
2013-09-28,2013-09-28T00:00:00-05:00,2013-09-30T00:00:00-05:00,1914.65
2013-09-29,2013-09-28T00:00:00-05:00,2013-09-30T00:00:00-05:00,1914.65
2013-09-30,2013-09-28T00:00:00-05:00,2013-09-30T00:00:00-05:00,1914.65
2013-10-01,2013-10-01T00:00:00-05:00,2013-10-01T00:00:00-05:00,1908.29
2013-10-02,2013-10-02T00:00:00-05:00,2013-10-02T00:00:00-05:00,1893.77
2013-10-03,2013-10-03T00:00:00-05:00,2013-10-03T00:00:00-05:00,1884.97
2013-10-04,2013-10-04T00:00:00-05:00,2013-10-04T00:00:00-05:00,1889.95
2013-10-05,2013-10-05T00:00:00-05:00,2013-10-07T00:00:00-05:00,1886.78
2013-10-06,2013-10-05T00:00:00-05:00,2013-10-07T00:00:00-05:00,1886.78
2013-10-07,2013-10-05T00:00:00-05:00,2013-10-07T00:00:00-05:00,1886.78
2013-10-08,2013-10-08T00:00:00-05:00,2013-10-08T00:00:00-05:00,1885.19
2013-10-09,2013-10-09T00:00:00-05:00,2013-10-09T00:00:00-05:00,1889.17
2013-10-10,2013-10-10T00:00:00-05:00,2013-10-10T00:00:00-05:00,1894.06
2013-10-11,2013-10-11T00:00:00-05:00,2013-10-11T00:00:00-05:00,1885.84
2013-10-12,2013-10-12T00:00:00-05:00,2013-10-15T00:00:00-05:00,1883.65
2013-10-13,2013-10-12T00:00:00-05:00,2013-10-15T00:00:00-05:00,1883.65
2013-10-14,2013-10-12T00:00:00-05:00,2013-10-15T00:00:00-05:00,1883.65
2013-10-15,2013-10-12T00:00:00-05:00,2013-10-15T00:00:00-05:00,1883.65
2013-10-16,2013-10-16T00:00:00-05:00,2013-10-16T00:00:00-05:00,1883.7
2013-10-17,2013-10-17T00:00:00-05:00,2013-10-17T00:00:00-05:00,1880.91
2013-10-18,2013-10-18T00:00:00-05:00,2013-10-18T00:00:00-05:00,1879.48
2013-10-19,2013-10-19T00:00:00-05:00,2013-10-21T00:00:00-05:00,1879.88
2013-10-20,2013-10-19T00:00:00-05:00,2013-10-21T00:00:00-05:00,1879.88
2013-10-21,2013-10-19T00:00:00-05:00,2013-10-21T00:00:00-05:00,1879.88
2013-10-22,2013-10-22T00:00:00-05:00,2013-10-22T00:00:00-05:00,1885.52
2013-10-23,2013-10-23T00:00:00-05:00,2013-10-23T00:00:00-05:00,1879.46
2013-10-24,2013-10-24T00:00:00-05:00,2013-10-24T00:00:00-05:00,1883.14
2013-10-25,2013-10-25T00:00:00-05:00,2013-10-25T00:00:00-05:00,1882.11
2013-10-26,2013-10-26T00:00:00-05:00,2013-10-28T00:00:00-05:00,1882.34
2013-10-27,2013-10-26T00:00:00-05:00,2013-10-28T00:00:00-05:00,1882.34
2013-10-28,2013-10-26T00:00:00-05:00,2013-10-28T00:00:00-05:00,1882.34
2013-10-29,2013-10-29T00:00:00-05:00,2013-10-29T00:00:00-05:00,1884.43
2013-10-30,2013-10-30T00:00:00-05:00,2013-10-30T00:00:00-05:00,1883.42
